total_population,california_county,approximate_location,ces_4_0_score,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,twocounty
6550,Los Angeles,Los Angeles,42,75-80%,0.064,12.12804813,0.204,726.64,65.59,0,566.276001,1076.933687,11.5,33,1.705,3,0.2,61.54,7.51,61.35,16.09,15.3,11,22.4,2.6,12.2,53.88,5.59,Los Angeles
3048,San Bernardino,Redlands,42,75-80%,0.073,11.23712272,0.547,503.54,55.44,3.85,350.1016693,649.8080979,9,17.5,2.545,0,0,56,6.84,41.05,14.07,10,3.2,44.8,5.9,24.2,59.21,6.14,Other County
3163,Los Angeles,Los Angeles,42,75-80%,0.048,12.12349272,0.48,787.94,69.06,0,1705.894063,1068.850299,20.2,8.5,0.635,0,0.5,59.6,7.28,33.16,8.97,19.6,23.4,56.5,0.4,26.1,55.64,5.77,Los Angeles
4448,Fresno,Fresno,41.97,75-80%,0.06,13.59541736,0.062,733.95,76.76,0,1195.886342,564.2982723,0,2,0.1,0,0,40.93,5,115.2,12.51,26.6,9.1,61.2,11.7,35.5,80.97,8.4,Other County
2797,Los Angeles,Los Angeles,41.97,75-80%,0.067,11.11249892,0.549,726.64,48.24,0,622.6946615,2123.368674,0,0,0.37,0,9.75,53.33,6.51,59.85,13.45,22.9,10.1,27.2,5.1,24.7,62.14,6.45,Los Angeles
10535,Madera,Unincorporated Madera County area,41.95,75-80%,0.059,12.25484271,0.029,658.45,42.6,185.64,622.5703124,385.652247,7.25,0,0.075,5,0,44.31,5.41,92.41,30.64,32.5,6.1,35.9,11.3,20,74.75,7.75,Other County
2654,Solano,Vallejo,41.93,75-80%,0.036,9.097854708,0.23,299.97,85.97,0.24,1007.110311,350.1277777,4.5,32.25,0.3,5,2.25,47.41,5.79,199.35,21.22,11.1,8.2,43.5,7.4,21.3,69.83,7.24,Other County
7558,Fresno,Clovis,41.93,75-80%,0.062,13.66888965,0.201,412.62,55.38,0,1131.21165,1088.928319,0,3,0.52,0,0,46.56,5.69,93.9,12.98,17.4,7.1,49.7,7.7,24,71.09,7.37,Other County
3476,Los Angeles,Industry,41.92,75-80%,0.055,12.07652502,0.068,759.95,80.7,0,2209.945638,1032.197867,1.2,11.75,0.02,6,2,53.71,6.56,62.45,15.65,33.3,15.6,23.2,6.8,8,61.63,6.39,Los Angeles
3663,Solano,Vallejo,41.92,75-80%,0.036,9.227717025,0.446,299.97,79.42,0,1041.954326,1155.500678,0,22,0.33,0,0.25,41.25,5.04,199.35,21.22,27.7,12.6,36.2,5.6,25.9,80.24,8.32,Other County
2977,Los Angeles,Los Angeles,41.91,75-80%,0.05,11.99265418,0.172,787.94,48.29,0,1389.177002,946.4740916,0,0.75,0.4,0,0,43.14,5.27,43.46,21.11,13.2,23.6,38.4,9.6,27.2,76.71,7.96,Los Angeles
6340,Riverside,Jurupa Valley,41.9,75-80%,0.066,12.99556098,0.098,752.44,27.99,0,1073.10966,604.2554397,9,4,0.17,3,2.7,49.36,6.03,57.33,17.17,28.6,11.1,32.5,9.1,13.3,67.03,6.95,Other County
5082,Los Angeles,Los Angeles,41.9,75-80%,0.04,11.88962253,0.256,452.76,62.2,0,9853.220216,1180.402406,9,2,0.765,10,1.2,55.98,6.83,49.91,10.69,16.7,15,27.8,6.5,28.4,59.1,6.13,Los Angeles
2065,Stanislaus,Riverbank,41.9,75-80%,0.053,11.11900617,0.125,578.53,69.64,36.12,1237.213297,469.5347673,6,8,0.3,7,1.9,55.92,6.83,62.74,17.83,28.5,11.9,51.9,6.4,15.4,59.16,6.14,Other County
5400,Kern,Hillcrest,41.9,75-80%,0.066,15.58975565,0.262,625.12,85.8,0,13.7659998,519.5319761,0,0,0.035,0,0,38.96,4.76,66.31,15.75,62.5,29.5,77.3,10.8,23.3,84.91,8.81,Other County
4991,Fresno,Clovis,41.87,75-80%,0.062,13.66885972,0.298,412.62,51.92,0,1029.921326,801.4239951,12.5,0,0.97,0,0,49.65,6.06,103.13,14.24,14.2,4.5,44.7,6.3,16.1,66.58,6.91,Other County
5112,San Bernardino,Rialto,41.86,75-80%,0.07,11.74142667,0.049,807.16,49.79,0,1075.693339,1226.506912,17.5,0,0.4,0,0,48.03,5.86,77.93,23.12,26.9,6,34.3,10.6,13.7,68.82,7.14,Other County
5382,Los Angeles,Duarte,41.84,75-80%,0.062,11.80206026,0.395,253.81,56.87,0,1462.820353,1738.685958,6.45,30.75,1.725,2,8.1,61.26,7.48,51.82,11.44,17.4,14.7,36.1,5.1,20.8,53.93,5.59,Los Angeles
6373,Los Angeles,Los Angeles,41.8,75-80%,0.065,12.64622444,0.141,726.64,61.22,0,586.958669,1181.421554,45,10.5,0.735,2,1.25,61.37,7.49,44.47,11.77,18.5,18.2,35.1,3.7,21.8,53.79,5.58,Los Angeles
5896,Stanislaus,Modesto,41.8,75-80%,0.053,11.20648458,0.259,891.92,64.74,27.68,313.9579926,578.9671713,15.6,42.8,0.525,0,0,57.74,7.05,86.45,15.8,13.1,4.1,26.7,9,22,57.16,5.93,Other County
4151,Los Angeles,Glendale,41.78,75-80%,0.055,11.74227874,0.634,685.63,58.23,0,1316.797343,1386.349203,10.2,0.3,0.21,2,0.3,52.38,6.4,40.56,17.71,14.3,39.3,44.6,6.4,33.4,62.98,6.53,Los Angeles
5577,San Bernardino,Rancho Cucamonga,41.76,75-80%,0.065,13.87834754,0.18,677.01,44.83,0,1243.891988,877.4044225,12.45,0,0.645,0,0,50.39,6.15,42.99,20.06,16.1,7.1,33.4,7.4,22.8,65.44,6.79,Other County
6173,Solano,Vallejo,41.76,75-80%,0.038,8.892141302,0.157,329.66,42.17,0,1059.309652,1226.190149,2,11.5,0.11,2,5.25,38.98,4.76,243.29,23.37,15.2,9.7,37.3,16.1,26.6,84.58,8.77,Other County
5592,Los Angeles,Long Beach,41.76,75-80%,0.041,11.46157855,0.335,339.04,54.23,0.45,17793.7238,1472.888178,3.65,43.1,0.46,10,5.2,62.2,7.59,71.55,15.18,16.6,4.7,42.3,3.6,11.4,53,5.5,Los Angeles
4369,Los Angeles,Alhambra,41.75,75-80%,0.055,11.80787374,0.177,797.88,67.91,0,1530.631002,916.0461296,14.3,24.5,0.345,1,1.2,58.18,7.1,32.92,9.34,21.7,23.8,38.1,4.7,33.1,56.65,5.88,Los Angeles
8192,Los Angeles,Glendale,41.74,75-80%,0.055,11.75637121,0.986,685.63,41.57,0,1232.033681,2260.811557,3.6,0,0.535,3,3,56.25,6.87,35.22,15.69,9.8,34.1,27.7,4.6,33.1,58.59,6.08,Los Angeles
6984,Ventura,Oxnard,41.73,75-80%,0.041,8.901824297,0.252,663.44,87.99,159.36,684.9889933,907.309902,3.9,27.5,0.86,4,0,56.6,6.91,42.04,13.22,44,14.2,45.3,4.1,23.8,58.22,6.04,Other County
8155,Sacramento,Lemon Hill,41.73,75-80%,0.045,8.919963695,0.106,725.02,82.39,0,109.2273305,649.8866859,0,45,0.17,4,0,39.23,4.79,99.48,20.73,38,16.5,67,7,25.3,83.97,8.71,Other County
4480,Alameda,Oakland,41.72,75-80%,0.029,9.918430785,0.645,110.41,68.2,0,491.8273214,637.0573432,11.95,208.55,1.86,11,0.25,49.43,6.04,122.65,11.19,13.9,13,45.5,8.9,22.4,66.64,6.91,Other County
3486,Los Angeles,Alhambra,41.7,75-80%,0.055,11.86866931,0.204,797.88,67.29,0,1593.018677,947.4952051,13,7.05,0.105,1,3,55.56,6.78,39.56,11.33,12.8,28.5,42.6,7.2,30.2,59.26,6.15,Los Angeles
4067,Los Angeles,Los Angeles,41.7,75-80%,0.046,12.05102217,0.112,787.94,90.41,0,1871.047953,1102.413226,9,12.25,0.72,0,0,54.35,6.64,68.9,12.59,26.6,28.9,47.5,4.4,29.4,60.58,6.28,Los Angeles
2631,Los Angeles,Los Angeles,41.68,75-80%,0.051,12.05494302,0.125,488.79,79.57,0,1537.582662,739.4212147,50.8,31,0.2,6,0.2,56.41,6.89,65.4,11.07,23.7,15,39.5,7.7,20,58.35,6.05,Los Angeles
2789,Los Angeles,Azusa,41.68,75-80%,0.06,11.73121178,0.103,655.98,60.79,0,1415.584361,676.0286152,12,13.6,1.27,0,8.25,56.1,6.85,71.92,17.02,34.5,13.9,41.5,5.2,16,58.66,6.09,Los Angeles
2029,Sacramento,Rosemont,41.67,75-80%,0.047,9.016634708,0.575,469.9,60.95,0,226.3833313,2158.941906,0,1.5,0.025,5,0,40.2,4.91,85.46,16.09,17.1,6.7,67.9,15.6,27.3,81.84,8.49,Other County
2106,Solano,Fairfield,41.67,75-80%,0.041,8.590738893,0.169,288,81.21,0,605.9493306,818.6749569,0,66.3,0.27,6,1,41.82,5.11,136.39,18.1,15,6.2,46.4,10,30.4,78.65,8.16,Other County
5218,Los Angeles,Palmdale,41.65,75-80%,0.062,7.790454775,0.209,289.8,52.26,0,14131.09668,614.0491316,0,0,0.11,0,2.2,35.55,4.34,125.16,23.3,38.4,8.8,78,15.3,40.6,92.5,9.6,Los Angeles
4797,Riverside,Moreno Valley,41.65,75-80%,0.07,11.34185005,0.158,237.48,26.31,0,392.4453329,553.6124915,13,83.5,3.02,0,2.7,47.53,5.8,64.15,17.29,29.6,14.1,30.3,16.5,11.8,69.19,7.18,Other County
