total_population,california_county,approximate_location,ces_4_0_score,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,twocounty
4732,Los Angeles,Los Angeles,54.41,90-95%,0.065,11.77397672,0.315,726.64,47.34,0,646.2120107,1072.152612,37,0,0.185,0,0,49.1,6,82.29,18.02,43.4,31.7,58.2,8.8,27.8,87.48,9.07,Los Angeles
4781,Los Angeles,Compton,54.4,90-95%,0.043,12.13955642,0.171,456.24,93.45,0,11714.87707,876.399866,1,12.75,0.095,7,0.3,50.51,6.17,95.67,24.68,49.9,8.8,56.8,8.7,35.8,85.04,8.82,Los Angeles
2000,Los Angeles,Los Angeles,54.38,90-95%,0.049,12.21911535,0.755,787.94,55.51,0,1757.250631,5637.221549,3.95,9,0.36,7,0,61.04,7.45,55.72,14.06,33.4,25.6,40.1,4.1,20.4,70.33,7.3,Los Angeles
5125,Los Angeles,Bell Gardens,54.34,90-95%,0.047,12.13853554,0.169,462.73,89.35,1.41,4180.829875,761.9842485,31.4,6,0.1,10,2.4,62.12,7.58,49.52,21.54,54.4,29,54.5,6.8,25.6,69.07,7.17,Los Angeles
3740,Los Angeles,Carson,54.34,90-95%,0.041,12.04103289,0.419,316.13,55.89,0,14156.69694,2920.271454,31.1,68.5,0.47,14,2.2,65.91,8.05,67.35,18.5,18.5,14.9,27.6,4.9,13,65.08,6.75,Los Angeles
3193,Los Angeles,El Monte,54.32,90-95%,0.058,12.00896355,0.627,821.08,49.74,0,2008.713664,3355.950613,20.7,14.8,0.12,3,1.25,63.19,7.72,73.28,15.5,36.9,25,47.4,4.1,26.7,67.87,7.04,Los Angeles
4608,Los Angeles,La Puente,54.31,90-95%,0.055,12.09913498,0.117,756.45,78.15,0,2157.826314,847.1957865,12,6.75,0.2,2,0,52.81,6.45,73.09,18.24,39,19.5,42.8,10.5,20.1,81.19,8.42,Los Angeles
4793,Los Angeles,Inglewood,54.28,90-95%,0.043,12.06540746,0.39,695.42,89.87,0.01,3951.486735,3194.231863,11.8,36.55,4.545,0,0,63.69,7.78,93.62,18.76,33.3,14.8,36.3,7.7,16.9,67.28,6.98,Los Angeles
3963,Los Angeles,Los Angeles,54.24,90-95%,0.047,12.23163332,0.245,787.94,89.41,0,1950.475383,906.5086736,8,6,0.215,0,0,52.46,6.41,51.7,13.45,71.4,58.8,79.3,8.4,35.9,81.63,8.47,Los Angeles
5639,Los Angeles,Baldwin Park,54.21,90-95%,0.058,11.87892599,0.167,745.19,60.57,0,1785.31366,651.0730791,12,21.25,0.45,0,8.2,58.3,7.12,66.86,14.78,40.7,32.3,48,4.6,25,73.42,7.62,Los Angeles
4389,Los Angeles,Hacienda Heights,54.19,90-95%,0.055,12.13187697,0.657,821.08,64.19,0,2391.392659,3473.399746,20.1,35.8,9.84,6,2.5,75.47,9.21,46.16,12.41,22.5,14.6,23.4,4.5,21.9,56.69,5.88,Los Angeles
3157,Los Angeles,Los Angeles,54.19,90-95%,0.062,12.43581973,0.424,726.64,59.17,0,747.9066673,2276.98245,4.4,0,0.3,2,0,54.46,6.65,77.98,19.65,33.3,35.7,45.2,7.4,21.2,78.56,8.15,Los Angeles
4066,Los Angeles,Burbank,54.17,90-95%,0.061,11.52107062,0.489,787.01,64.25,0,2302.440063,2142.611474,44.4,104,2.29,6,0,70.07,8.56,40.62,11.08,14,6.9,36.3,7,27.4,61.04,6.33,Los Angeles
5629,Los Angeles,Baldwin Park,54.09,90-95%,0.058,11.99923941,0.241,822.91,67.07,2.27,1957.424988,2510.566809,12,23,0.36,3,1.45,69.37,8.47,66.86,14.78,28,24.4,49.2,4.2,23.1,61.56,6.39,Los Angeles
3736,Los Angeles,Walnut Park,54.01,90-95%,0.045,12.06379023,0.366,338.88,89.99,0,4895.453288,805.1310119,57.25,15,0.76,0,0.2,55.77,6.81,47.79,18.81,51.2,26.4,50.2,10.1,23.6,76.47,7.93,Los Angeles
4447,Los Angeles,Los Angeles,54.01,90-95%,0.038,11.70137136,0.831,391.08,42.73,0,4933.27653,503.3612808,16,18.4,2.53,11,5.2,58.11,7.09,103.61,14.57,29.2,22.6,61.5,5.6,17.9,73.38,7.61,Los Angeles
1144,Los Angeles,West Rancho Dominguez,53.98,90-95%,0.042,12.09778921,0.609,373.79,69.53,3.64,96985.62996,588.0078057,45.25,79.25,10.99,0,12.75,67.39,8.23,48.02,9.82,23.6,11.8,32.5,8,28.7,63.25,6.56,Los Angeles
4086,Los Angeles,Long Beach,53.98,90-95%,0.04,11.66444496,0.296,339.04,89.46,0,14167.36979,993.2065563,7.5,16.9,0.35,10,0,54.34,6.63,71.3,14.7,51.1,18.3,64.4,2.9,31.5,78.44,8.14,Los Angeles
4759,Los Angeles,Los Angeles,53.97,90-95%,0.051,12.31141865,0.208,488.79,80.07,0,1593.690653,1511.705885,28.6,11,0.085,8,2.15,61.53,7.51,51.17,8.37,42,28.5,49.9,9.7,20.4,69.26,7.18,Los Angeles
4350,Los Angeles,El Monte,53.91,90-95%,0.058,11.87831142,0.278,702.69,75.71,0,1924.305725,734.5235531,21.9,192.3,1.05,3,5.5,67.29,8.22,46.3,10.9,35.7,18.9,38.7,5.6,17.9,63.25,6.56,Los Angeles
3301,Los Angeles,Huntington Park,53.88,90-95%,0.046,12.14111892,0.166,380.45,69.92,0,3816.373291,773.6941365,9.4,11.3,3.04,0,1.95,53.06,6.48,60.74,24.24,42.5,35.2,65.7,9,30.3,80.17,8.32,Los Angeles
4587,Los Angeles,Los Angeles,53.85,90-95%,0.049,12.00979423,0.788,787.94,79.1,0,1444.103332,2017.056531,19.25,9.5,0.38,0,0,60.34,7.37,45.77,12.22,36.9,52.7,53.3,4.4,21.9,70.47,7.31,Los Angeles
4793,Los Angeles,Burbank,53.79,90-95%,0.058,11.77741792,0.378,786.33,57.73,0,1222.180664,1884.460118,40.2,55.8,1.145,9,10.5,73.91,9.02,28.26,9.75,12.5,19.3,47,6.6,32.8,57.47,5.96,Los Angeles
8421,Los Angeles,Norwalk,53.74,90-95%,0.046,12.11184692,0.542,671.58,81.57,5.41,4480.894979,4069.951321,5,16,1.135,3,7.3,73.31,8.95,46.47,18.06,18.3,6.4,25.1,8.1,10.3,57.88,6,Los Angeles
2982,Los Angeles,Los Angeles,53.74,90-95%,0.049,11.90677464,0.366,787.94,59.57,0,1436.242696,1142.09996,21.2,42,0.565,0,1.5,61.65,7.53,53.48,13.5,27.6,20.8,49.7,8.7,31.9,68.82,7.14,Los Angeles
7457,Los Angeles,Carson,53.67,90-95%,0.041,11.9802672,0.608,316.13,54.6,0.74,11846.09326,2418.758141,53.85,30.4,0.515,3,29.5,67.87,8.29,67.35,18.5,15.6,10,29.4,6,11.7,62.43,6.48,Los Angeles
1832,Los Angeles,Los Angeles,53.66,90-95%,0.047,12.10099038,0.656,787.94,90.37,0,1811.783386,1051.655763,8,1.05,0.24,0,1,55.63,6.79,43.91,13.25,36,32.2,67.6,10.2,27.5,76.16,7.9,Los Angeles
4077,Los Angeles,Long Beach,53.63,90-95%,0.04,11.70472748,0.198,339.04,89.48,0,11327.89339,704.8091165,0.1,3,0.535,4,1.1,46.28,5.65,116.42,25.27,36.3,19.2,54.2,13.8,22.7,91.5,9.49,Los Angeles
3069,Los Angeles,Los Angeles,53.56,90-95%,0.048,12.20870236,0.26,787.94,78.61,0,1849.098653,766.5039872,2.25,3,0.26,0,0,48.96,5.98,74.85,19.42,24.4,30.4,50.2,10.1,29.3,86.38,8.96,Los Angeles
3487,Los Angeles,Los Angeles,53.55,90-95%,0.045,11.97864156,0.094,787.94,85.79,0,2960.65328,1067.871589,16.75,0,0.03,0,1.25,48.53,5.93,91.04,17.25,38.7,16.1,50.5,9.4,37.8,87.12,9.04,Los Angeles
5008,Los Angeles,Los Angeles,53.53,90-95%,0.061,11.73113429,0.113,726.64,66.25,0,958.2446593,1257.74796,37,4.5,0.335,0,0,52.02,6.35,63.43,19.24,38.3,27,71.4,7,48.7,81.25,8.43,Los Angeles
2480,Los Angeles,Los Angeles,53.47,90-95%,0.043,12.09974001,0.953,787.94,84.25,0,8555.999756,4152.857187,0,0.5,0,0,3.3,53.93,6.59,88.19,15.93,41.2,17.7,50.3,2,33.4,78.28,8.12,Los Angeles
5332,Los Angeles,Los Angeles,53.44,90-95%,0.049,12.80327609,0.462,787.94,56.62,0,1854.717346,2097.011999,8,26.25,1.775,15,0.7,69.19,8.45,28.64,9.18,28.7,27.1,45,4.8,32.9,60.98,6.33,Los Angeles
2875,Los Angeles,Pomona,53.43,90-95%,0.057,12.31792977,0.369,753.39,92.14,0.02,958.7150167,3035.187061,2.1,0,0.26,4,0,58.2,7.11,77.93,15.95,41.8,14.4,49.9,6.4,18.1,72.49,7.52,Los Angeles
4027,Los Angeles,Los Angeles,53.42,90-95%,0.062,11.5297162,0.171,726.64,84.19,0,1031.859996,670.9746195,36.1,19.75,3.3,0,2.7,61.1,7.46,59.96,12.69,40.7,26.5,59.6,2.4,42,69.02,7.16,Los Angeles
4790,Los Angeles,Los Angeles,53.41,90-95%,0.062,11.77593619,0.422,726.64,56.66,0,802.5273641,1237.16521,36.5,0,0.175,0,0,51.34,6.27,109.67,20.85,33.3,26.2,45,5,24.6,82.14,8.52,Los Angeles
3122,Los Angeles,Los Angeles,53.36,90-95%,0.045,12.06807983,0.145,787.94,91.5,0,2963.830038,740.8897098,1.25,0,0.15,0,4.5,48.67,5.94,69.72,22.77,65.9,20.3,62.9,6,39,86.56,8.98,Los Angeles
3709,Los Angeles,Inglewood,53.35,90-95%,0.043,11.98293327,0.3,459.24,83.32,0.03,6663.116537,671.3479042,1,1.75,0.34,5,0,48.8,5.96,96.46,23.12,40.2,18.9,39.4,7.9,28.2,86.33,8.95,Los Angeles
6905,Los Angeles,Lynwood,53.34,90-95%,0.044,12.03711727,0.569,500.35,92.84,0,8417.306602,2401.858014,6.4,3.75,0.4,7,1.15,62.23,7.6,67.87,18.84,35.2,12.2,39.2,7.5,20.6,67.68,7.02,Los Angeles
4274,Los Angeles,Pico Rivera,53.33,90-95%,0.048,12.16873093,0.641,241.58,79.94,0,3306.220134,1267.536833,22.2,20,6.385,8,7.1,68.29,8.34,60.9,21.31,30.8,11.8,25.2,4.3,19.9,61.65,6.4,Los Angeles
3957,Los Angeles,Los Angeles,53.32,90-95%,0.064,12.55151073,0.076,726.64,61.54,0,560.6793365,1453.312393,10.5,1.5,0.445,3,0,52.47,6.41,72.5,19.57,31.9,24.4,50.7,3.4,32.6,80.22,8.32,Los Angeles
3356,Los Angeles,Los Angeles,53.31,90-95%,0.043,12.09491005,0.131,787.94,87.31,0,7591.836832,679.3806619,0,8,0,7,3.3,51.51,6.29,128.21,21.69,50.4,8.4,56.6,4.5,35.2,81.72,8.48,Los Angeles
3037,Los Angeles,Los Angeles,53.29,90-95%,0.041,12.05569133,0.613,806.39,63.44,7.95,15549.22331,3257.969861,26.7,43.4,1.145,16,6.95,80.9,9.88,54.47,13.84,11,6.8,16.3,2,18.1,52.01,5.39,Los Angeles
4382,Los Angeles,Los Angeles,53.28,90-95%,0.04,11.76743391,0.916,391.08,76.12,0,9119.849935,1759.924727,1.8,15.15,0.745,10,0,57.62,7.04,75.21,21.26,47.3,18.7,42,4.2,25.1,73.01,7.57,Los Angeles
5514,Los Angeles,Los Angeles,53.28,90-95%,0.051,12.08423947,0.519,788.02,65.75,0,2124.610026,967.4899402,22.9,21.35,5.15,0,1.25,64.53,7.88,52.24,11.12,22.9,10.2,37.7,12.4,22.8,65.19,6.76,Los Angeles
3348,Los Angeles,Los Angeles,53.26,90-95%,0.06,11.51882074,0.252,726.64,72.95,0,1084.227356,874.7285841,38.25,3.5,0.53,0,3,57.95,7.08,68.88,19.44,26.7,9.1,29.1,9.1,31.2,72.56,7.53,Los Angeles
4273,Los Angeles,Glendale,53.23,90-95%,0.053,11.83524467,0.113,685.63,67.06,0,1777.218404,734.6241035,37.2,0,0.115,6,1.7,51.51,6.29,55.33,21.43,19.1,33.8,60.5,11.5,41.4,81.6,8.46,Los Angeles
6065,Los Angeles,Los Angeles,53.2,90-95%,0.06,11.5987061,0.214,726.64,49.18,0,517.276652,1045.567517,2.25,22,0.37,4,1.75,54.38,6.64,86.35,18.41,35.2,25.2,54.4,3.4,24.3,77.25,8.01,Los Angeles
5019,Los Angeles,West Athens,53.17,90-95%,0.043,12.13594907,0.48,373.79,79.15,0,8722.750164,889.8959379,24,14.55,0.73,0,5.3,59.99,7.32,109.77,18.68,15.6,2.3,13.9,11.7,20.9,69.97,7.26,Los Angeles
4683,Los Angeles,Los Angeles,53.14,90-95%,0.04,11.69875187,0.126,391.08,84.93,0,12120.69336,1014.371581,8.9,28.35,12.975,16,11.1,63.53,7.76,76.33,21.61,41.3,2.9,52.3,8,18.8,66.03,6.85,Los Angeles
2735,Los Angeles,Los Angeles,53.09,90-95%,0.064,11.50132407,0.173,726.64,63.23,0.05,966.0963237,1965.225004,36.7,33.75,0.655,4,1.2,66.59,8.13,69.14,18.39,17,13.2,22.1,4.2,21.2,62.95,6.53,Los Angeles
6903,Los Angeles,Pomona,53.05,90-95%,0.056,12.57603309,0.269,754.44,63.66,0,876.569987,1721.13714,4,5.75,0.27,0,2.7,56.73,6.93,74.95,17.48,39.8,17.5,51.6,5.1,17.3,73.83,7.66,Los Angeles
3038,Los Angeles,Los Angeles,53.04,90-95%,0.045,11.96948377,0.109,787.94,90.75,0,3104.243327,1020.806474,9.8,0,0.145,0,0,46.59,5.69,100.68,20.14,49.2,18.2,63.7,9.1,42.9,89.88,9.32,Los Angeles
5836,Los Angeles,Los Angeles,52.93,90-95%,0.061,12.10983792,0.274,726.64,64.69,0,533.6589915,1038.579609,1.75,0,0.31,4,0,50.56,6.17,84.14,21.42,33.1,23.6,60.2,6.6,28,82.66,8.57,Los Angeles
3793,Los Angeles,South San Jose Hills,52.91,90-95%,0.053,12.19743435,0.155,677.79,71.12,0,2234.710022,1385.155145,11.5,26.2,0.21,5,0,58.64,7.16,61.89,15.51,38.7,11.7,39.2,10.8,24.4,71.24,7.39,Los Angeles
4278,Los Angeles,Los Angeles,52.91,90-95%,0.039,11.72966207,1.855,391.08,76.8,0,9274.540205,615.2288311,5.5,9.65,0.35,8,0,51.14,6.24,76.33,21.61,53,27.6,64.7,5.8,28.8,81.68,8.47,Los Angeles
6939,Los Angeles,Pico Rivera,52.86,90-95%,0.048,12.15287635,0.347,556.06,77.38,0.05,3251.037374,3281.890157,16.8,10,1.075,3,3.1,68.67,8.38,60.9,21.31,25.9,8.6,19.4,5.3,9,60.77,6.3,Los Angeles
6740,Los Angeles,Los Angeles,52.84,90-95%,0.04,11.87130723,0.416,391.08,72.5,0,9706.710125,1130.352335,4.9,24,0.995,0,2,55.69,6.8,56.51,11.87,35.5,21.7,55.7,9.2,39.9,74.91,7.77,Los Angeles
3397,Los Angeles,East Los Angeles,52.83,90-95%,0.049,12.11496468,1.327,676.61,89.7,0,3018.086711,2642.927693,21.7,0.6,0.14,0,0,56.64,6.92,72.44,16.96,58.9,32.2,54.6,14.5,15.6,73.65,7.64,Los Angeles
6769,Los Angeles,Los Angeles,52.83,90-95%,0.064,11.58425896,0.119,726.64,65.11,0,758.8869882,1320.71934,45.4,6,0.25,4,0,54.96,6.71,83.32,18.21,21.6,16.2,36.6,11.2,24.9,75.9,7.87,Los Angeles
4375,Los Angeles,Los Angeles,52.82,90-95%,0.046,12.15734144,0.163,787.94,93.32,0,3131.960002,755.7290663,8.75,0.3,0.055,0,1,48.7,5.95,69.72,22.77,55.4,17.8,67.1,8.8,36.2,85.63,8.88,Los Angeles
5306,Los Angeles,Lynwood,52.74,90-95%,0.044,12.06201946,1.156,488.88,89.61,0,9714.633546,4247.061337,2,5,0.535,7,3.2,64.65,7.89,55.77,15.36,47.7,16.8,37.2,5.1,22.9,64.4,6.68,Los Angeles
5097,Los Angeles,Los Angeles,52.73,90-95%,0.062,11.77593619,0.366,726.64,67.83,0,818.2749836,1071.453953,37,0,0.175,0,0,51.72,6.32,109.67,20.85,30.7,31.8,57,9.8,35.7,80.49,8.35,Los Angeles
5638,Los Angeles,South Gate,52.64,90-95%,0.045,12.05058449,0.17,671.72,91.49,0,5749.623454,728.1035247,7.25,10.75,0.4,0,1.75,54.04,6.6,52.53,18.39,40.5,20.8,50.1,10,29.1,76.92,7.98,Los Angeles
6742,Los Angeles,Los Angeles,52.64,90-95%,0.065,11.86110213,0.257,726.64,58.26,0,660.5809936,1250.399373,38.85,10,0.135,0,0,53.51,6.53,66.53,12.4,41,27,53.1,9.1,25.6,77.67,8.06,Los Angeles
2862,Los Angeles,Los Angeles,52.6,90-95%,0.065,11.49189975,0.272,726.64,57.27,0,1072.435364,3356.042025,10,1.7,0.495,6,1.1,60.31,7.36,74.78,15.13,29.2,9.9,33.4,5.1,23.4,68.85,7.14,Los Angeles
6491,Los Angeles,Inglewood,52.56,90-95%,0.044,11.91340435,0.179,443.83,73.6,0,3392.523356,816.2428692,1,4.5,1.2,0,5,50.16,6.12,93.09,18.02,22,10.6,55.7,9.9,29.6,82.73,8.58,Los Angeles
4240,Los Angeles,Maywood,52.52,90-95%,0.047,12.11512207,0.362,496.87,95.64,0,3621.81665,708.025304,6.05,4.3,0.41,7,0,55.14,6.73,52.72,20.45,50.6,21.9,60.9,9.1,29,75.2,7.8,Los Angeles
2752,Los Angeles,Los Angeles,52.49,90-95%,0.046,12.0039133,0.601,787.94,69.73,0,2073.416972,4170.190184,7,15,0.785,0,0,59.96,7.32,61.72,12.24,24.4,19.1,36.8,4.3,24,69.11,7.17,Los Angeles
4933,Los Angeles,Baldwin Park,52.47,90-95%,0.058,11.90589977,0.194,745.19,72.79,0,1781.370707,509.5817247,12,26.5,0.925,0,5.7,60.3,7.36,57.56,12.71,34.4,15,38.3,8.4,22.1,68.7,7.13,Los Angeles
3495,Los Angeles,Montebello,52.44,90-95%,0.052,11.99952316,0.093,601.7,57.13,0,2921.633301,878.4557732,22,13.1,0.595,10,13.45,62.96,7.69,48.94,15.21,20.2,13.3,39.7,8.9,15.7,65.76,6.82,Los Angeles
5436,Los Angeles,Los Angeles,52.43,90-95%,0.045,12.0084908,0.926,787.94,96.49,0,2922.25,2446.699998,1.3,0,0.145,0,8,57.69,7.04,50.62,12.03,63.4,36.7,72.6,5.3,40.6,71.76,7.44,Los Angeles
4873,Los Angeles,Los Angeles,52.43,90-95%,0.062,14.58823142,0.08,726.64,72.9,0.44,641.7759908,1230.666278,1.5,2.5,0.08,10,7,59.72,7.29,70.9,18.6,29.9,17.5,39.7,3.2,32.5,69.31,7.19,Los Angeles
4345,Los Angeles,Los Angeles,52.41,90-95%,0.048,12.20870236,0.261,787.94,80.43,0,1908.139669,1030.418777,2.2,2.8,0.325,0,0,50.86,6.21,74.85,19.42,62,54.1,75.2,7.3,31.1,81.37,8.44,Los Angeles
4158,Los Angeles,Long Beach,52.39,90-95%,0.04,11.75572268,0.863,339.04,78.22,0,12675.84994,660.216561,2.1,37.9,0.345,0,2.05,51.29,6.26,80.67,16.38,50.8,17,59,11.8,31,80.65,8.37,Los Angeles
3703,Los Angeles,Los Angeles,52.36,90-95%,0.048,12.10279177,0.641,787.94,77.83,0,1574.632975,3082.310819,3.5,6.5,0.145,0,2,58.57,7.15,53.46,13.73,28.5,30.2,64.1,5.8,28.6,70.58,7.32,Los Angeles
3109,Los Angeles,Los Angeles,52.29,90-95%,0.064,11.61456405,0.196,726.64,62.42,0,857.1419882,1568.447537,42.5,21,0.345,4,0,59.95,7.32,66.18,13.69,19.4,22.5,49.1,2.8,29.5,68.86,7.14,Los Angeles
4708,Los Angeles,Compton,52.29,90-95%,0.044,12.08889755,0.131,497.33,80.71,0,12316.81681,706.491354,0,29.5,0.16,7,0.2,49.76,6.08,83.19,21.54,34.4,6.6,40,9.6,30.7,82.97,8.61,Los Angeles
5363,Los Angeles,Paramount,52.25,90-95%,0.044,12.01081735,0.265,352.08,67.06,0,7497.67334,1964.301621,0.1,15,0.7,7,4,58.71,7.17,46.77,14.36,44.6,11.5,36.6,4.6,31.5,70.27,7.29,Los Angeles
5652,Los Angeles,Hawaiian Gardens,52.24,90-95%,0.043,11.67866576,0.622,457.29,79.88,0,4175.133341,2176.64946,1,15.75,0.36,14,0,58.15,7.1,53.8,19.6,42,33.9,48.9,6.1,36.4,70.94,7.36,Los Angeles
4582,Los Angeles,El Monte,52.21,90-95%,0.058,12.07216065,0.201,821.08,62.52,0,2031.887024,2723.890481,14.7,18.5,0.16,3,0,60.15,7.34,73.28,15.5,42.4,34.1,53,3.8,31.1,68.52,7.11,Los Angeles
3664,Los Angeles,Gardena,52.19,90-95%,0.041,11.9644351,0.133,373.79,57.09,0.5,20241.13053,1141.577064,22.3,8.75,0.875,16,7.7,63.76,7.78,68.64,13.21,21.4,27,36.8,6.7,18.2,64.63,6.7,Los Angeles
4995,Los Angeles,Los Angeles,52.16,90-95%,0.051,12.19527041,0.137,488.79,73.66,0,1881.817017,706.7247204,23,63.75,1.215,6,2.5,63.68,7.78,63.37,13.34,38.7,23,51.1,5.9,13.3,64.67,6.71,Los Angeles
4148,Los Angeles,Los Angeles,52.15,90-95%,0.047,12.23163332,0.495,787.94,75.11,0,2011.592977,757.4418663,9.6,6.3,0.395,0,0,54.29,6.63,60.46,10.01,48.4,48.7,69.8,9.5,36.1,75.85,7.87,Los Angeles
7363,Los Angeles,Montebello,52.15,90-95%,0.049,12.21276924,0.396,217.96,68.54,0,3451.079997,1897.911955,8.5,80,1.675,8,23.8,68.16,8.32,45.38,14.31,32,22.3,51.8,5.5,24,60.41,6.27,Los Angeles
3770,Los Angeles,Hawthorne,52.14,90-95%,0.043,12.11204085,0.62,371,72.4,0,7772.436603,2496.266195,36,144.5,2.105,5,1.7,68.26,8.33,77.83,15.9,8.7,0.2,18.9,6.8,18.8,60.31,6.26,Los Angeles
4891,Los Angeles,Compton,52.1,90-95%,0.043,12.13477891,0.087,459.74,68.28,0.09,23085.44336,753.8720767,4.5,0,0.27,7,0.2,48.01,5.86,122.52,19.17,32.9,8,50.1,15.7,32.4,85.68,8.89,Los Angeles
8118,Los Angeles,Gardena,52.08,90-95%,0.043,12.0858239,0.223,368.11,80.69,0.09,8834.856607,1008.898003,74.95,191.5,6.275,5,0.8,65.52,8,80,17.3,12.3,3.2,33.1,3.4,25.8,62.75,6.51,Los Angeles
4351,Los Angeles,Los Angeles,52.04,90-95%,0.048,12.19449024,0.34,787.94,71.4,0,1727.574321,1371.530459,14.45,11.5,1.24,0,0,59.72,7.29,40.48,10.46,30.6,31.8,42.2,12,30.6,68.81,7.14,Los Angeles
4472,Los Angeles,Los Angeles,52.03,90-95%,0.047,12.17561826,0.298,787.94,71.67,0,1906.099304,826.539592,5.95,11,0.19,0,0,51.12,6.24,59.91,15.66,46.1,33.5,74.3,5.8,26.8,80.37,8.34,Los Angeles
8180,Los Angeles,El Monte,52.03,90-95%,0.059,12.02522411,0.093,896.49,70.92,0.01,1762.355652,1099.703211,1.2,21.3,0.56,8,3.5,63.93,7.81,64.61,13.73,29.4,28.3,35.7,2.9,20.5,64.26,6.67,Los Angeles
3809,Los Angeles,Los Angeles,52.02,90-95%,0.064,12.08174436,0.506,726.64,59.16,0,699.0579986,3796.12954,40.75,10,1.46,0,0.3,63.66,7.77,50.06,11.2,22.7,23.2,36.2,5.7,25.5,64.52,6.69,Los Angeles
4763,Los Angeles,East Los Angeles,52.02,90-95%,0.05,12.20456374,0.334,672.19,93.73,0,3108.52002,635.4668114,2.65,9.5,0.42,0,0.35,53.17,6.49,67.47,15.96,37.9,19.3,44.4,6.9,24,77.25,8.01,Los Angeles
4911,Los Angeles,Los Angeles,52.01,90-95%,0.047,12.52185449,1.797,787.94,60.44,0.08,2168.826721,669.7749357,11.6,27.3,2.205,7,27,71.66,8.75,69.4,9.26,12.3,13.4,37.4,4.4,22.6,57.31,5.94,Los Angeles
3691,Los Angeles,Los Angeles,52,90-95%,0.06,11.67746028,0.141,726.64,75.9,0,515.7920125,1223.924428,0,4.5,0.12,4,8,52.51,6.41,82.56,17.62,49.5,36.2,49.7,6.4,36.8,78.19,8.11,Los Angeles
2832,Los Angeles,Los Angeles,52,90-95%,0.065,11.64699806,0.131,726.64,75.13,0,662.171992,1022.871781,36.35,10,0.375,0,0,53.87,6.58,90.8,20.05,37.8,27.3,59.3,7.2,33.5,76.2,7.9,Los Angeles
3836,Los Angeles,Los Angeles,51.97,90-95%,0.065,11.95061359,0.431,726.64,55.22,0,634.9610036,3474.392268,36,2.5,0.06,0,0,53.78,6.57,86.23,15.46,56.6,29.8,78.1,7.4,47.6,76.3,7.91,Los Angeles
5231,Los Angeles,Pomona,51.94,85-90%,0.055,12.35454552,0.474,774.66,81.55,86.71,1480.133036,1267.772455,16,8.5,1.585,5,2,75.08,9.17,56.6,12.56,21.3,9.2,28.9,10.8,18.2,54.62,5.67,Los Angeles
4290,Los Angeles,Glendale,51.92,85-90%,0.053,11.83524467,0.142,685.63,65.21,0,1672.830281,789.6019933,39,0,0.155,6,1.7,52.91,6.46,55.99,21.73,14.4,34.1,49.5,7.9,40.4,77.48,8.04,Los Angeles
3677,Los Angeles,Cudahy,51.92,85-90%,0.046,12.03133345,0.112,453.88,77.54,0,4850.419963,1094.879665,9.35,12.3,0.48,7,2.5,58.96,7.2,47.59,20.82,44.7,19.8,48.2,8.9,26.4,69.53,7.21,Los Angeles
4502,Los Angeles,Los Angeles,51.9,85-90%,0.061,11.90297183,0.181,726.64,69.46,0,1249.899007,3033.525029,10,21,1.45,11,6,71.12,8.68,71.66,18.44,7.3,8.5,30.4,3.7,16.7,57.61,5.98,Los Angeles
2692,Los Angeles,Los Angeles,51.89,85-90%,0.048,12.23163332,0.636,787.94,84.65,0,1928.154623,812.3132908,4.65,4.75,0.385,0,0,53.95,6.59,53.55,10.57,72.9,52,74.7,7.5,25.2,75.93,7.88,Los Angeles
4393,Los Angeles,Bellflower,51.86,85-90%,0.043,11.87162997,0.813,295.99,64.55,1.93,6138.899984,2666.963784,0,39,1.22,0,0,55.91,6.83,56.53,15.34,30.2,8.9,37.3,7.3,29.7,73.24,7.6,Los Angeles
4129,Los Angeles,Los Angeles,51.84,85-90%,0.04,11.72750466,0.158,391.08,82.25,1.52,14707.06673,1016.60429,3,28.75,0.7,0,6.9,57.86,7.06,65.44,18.49,32.6,11.2,52.6,9.3,24.4,70.74,7.34,Los Angeles
3136,Los Angeles,El Monte,51.84,85-90%,0.058,12.00896355,0.396,821.08,63.38,0,1986.99235,2841.081921,20.7,13.3,0.12,3,1.25,63.68,7.78,73.28,15.5,36.4,27.3,39.4,3.7,18.4,64.26,6.67,Los Angeles
6170,Los Angeles,Los Angeles,51.79,85-90%,0.045,11.91626655,0.081,787.94,76.5,0.52,2459.357341,599.0354028,1.5,11.25,0.435,0,0.2,48.97,5.98,118.41,15.95,18.2,8.7,50.4,13,39.3,83.51,8.66,Los Angeles
2896,Los Angeles,Rosemead,51.74,85-90%,0.055,11.90115668,0.216,818.73,75.11,0,2092.294678,969.4629951,13.6,46.65,0.685,4,1,65.08,7.95,40.18,11.14,37.2,37.8,54.7,2.3,29,62.77,6.51,Los Angeles
3561,Los Angeles,Los Angeles,51.73,85-90%,0.047,12.2587974,1.091,787.94,58.47,0,2096.768372,2512.857059,19.5,7.25,0.725,0,0,60.36,7.37,71.04,12.26,46.1,54,63.1,4,32.5,67.67,7.02,Los Angeles
